,ID,Antigen_Processing_and_Presentation_Li_et_al,Antimicrobials_Li_et_al,Base_excision_repair,CD8_c1_Tex,CD_8_T_effector,CellCycle_Reg,Cell_cycle,Co_inhibition_T_cell_Rooney_et_al,Cytokines_Li_et_al,DDR,DNA_replication,EMT1,EMT2,EMT3,HLA_signature_gene,Homologous_recombination,Immune_Checkpoint,Mismatch_Repair,Nucleotide_excision_repair,Pan_F_TBRs,Purine_Metabolism,Pyrimidine_Metabolism,TCR_signaling_Pathway_Li_et_al,TIP_Killing_of_cancer_cells_2,TIP_Priming_and_activation_1,TIP_Priming_and_activation_2,TIP_Recognition_of_cancer_cells_by_T_cells_1,TMEscoreA_CIR,TMEscoreA_plus,TMEscoreB_CIR,TMEscore_CIR
30,SAM18be5b395318,0.3674515615921131,0.3496885960462976,0.3198379433952829,-0.050777995588159576,0.07383587872043086,0.4035944191606267,0.4421847893491068,0.04357295142169728,0.2341036985079454,0.47413906451181054,0.40731559675752693,0.3492715748635736,0.18990657989528564,0.2416389474957916,-0.02850252627394403,0.3759492957525095,-0.0008819303641464072,0.434586972906161,0.3966188684926355,0.38984362784801435,0.30799687094536415,0.35785519571322855,0.08778930215297262,0.17303038876559726,-0.0008819303641464072,-0.0008819303641464072,0.3127961148270101,0.3209474536366138,0.28112450530568706,0.2325006274794738,0.08844682615714
31,SAM19fec8f3b3bd,0.41018880251897644,0.30515112338933165,0.30915938177614777,-0.04783652194045081,-0.03327590781566071,0.3787455824679934,0.4225817839474734,0.0704990099107801,0.2825438385535486,0.4575471939548105,0.35975747838683925,0.31872073514412047,0.4185673636471093,0.3850762971113397,-0.026424239415475812,0.34269228146221026,0.04941953849544441,0.40107687661499936,0.3917194663491939,0.4799226678488779,0.3351660062086195,0.34534763603043106,0.10632570458804098,0.27438119833019664,0.04941953849544441,0.04941953849544441,0.35040768016306023,0.2426322916266143,0.1879507451863026,0.3237317153281762,-0.0810994237015619
32,SAM1a87df750b9d,0.43893229263470823,0.3650764433645799,0.3094872604896426,0.036954658199944236,0.12668164049709493,0.36516671777419724,0.45533508677907836,0.08620991356218874,0.29500730400308,0.4497619499143422,0.4089316697161055,0.34528590391127595,0.2988894597382039,0.37873112672302445,0.06800992857887468,0.35100658864078443,0.06079982857910875,0.4200406383336822,0.3716584453829047,0.3963501835946796,0.3413240375543224,0.37526607711261084,0.14855081556536448,0.2658936499266724,0.06079982857910875,0.06079982857910875,0.31265769361256285,0.36141397949002135,0.3160957637179306,0.2705188197522005,0.09089515973782086
33,SAM1ab1b28d9f2b,0.3929562391365436,0.26196584135525813,0.2958490017901449,-0.13723052701217486,-0.08674309888324987,0.43361024755186894,0.4482340095403254,-0.08219215143120012,0.18188088383964232,0.45784952814081425,0.39826037676773546,0.3502594859129487,0.2512598167840191,0.32022205963071093,-0.092211454783168,0.3635416274927066,-0.1056348913464274,0.41327644796685514,0.37817578404134855,0.4510018617161633,0.31932238719006734,0.369174888012152,0.05291912889822848,0.09220077798489344,-0.1056348913464274,-0.1056348913464274,0.30374388823085213,0.17402928464605527,0.1632187560087664,0.3677955270423732,-0.19376624239631796
34,SAM1abf01dd4544,0.43477523730486367,0.34774354674600727,0.3213186762231666,0.02757007122112214,0.09034365023441979,0.3897889455937603,0.4305151871259097,0.08681915844064571,0.2537009044753465,0.4550309407626709,0.39285173055079153,0.42806069982108613,0.2820299583982703,0.42111086387404195,0.06252169407158034,0.3474240678989114,0.05304552681383687,0.41632135064440273,0.3839917180769138,0.46245146479692784,0.32788923663086955,0.3526649992873475,0.15463762226809166,0.20277627948646873,0.05304552681383687,0.05304552681383687,0.3265255172052834,0.2584389434157192,0.25868804571202636,0.3643645294859527,-0.1059255860702335
35,SAM1ac4e3dee297,0.3417851905501872,0.2995631699249166,0.339956468984473,-0.2694802746239371,-0.2553455610603962,0.47075489650160807,0.43586470412906736,-0.17718437478900717,0.19380880201516312,0.468228947100435,0.3618975301564949,0.3183742749647887,0.15158969814243856,0.16461979645310817,-0.19955431330976964,0.33991882229128956,-0.2071645577717937,0.3965257748333161,0.39210113521136175,0.3954919540399943,0.3268052040895302,0.35391861253812545,0.002451456324540969,0.15676941554233262,-0.2071645577717937,-0.2071645577717937,0.25600265727262006,0.04113753426520205,0.00811552456591842,0.3084493673937898,-0.26731183312858775
36,SAM1bcc62d8290c,0.3906493877690227,0.28032778475155673,0.3498104334847962,-0.14744617293039128,-0.0761050684613972,0.42684044466171384,0.4604220803376974,-0.026037982793949997,0.10259056677023728,0.4779542152427649,0.45099653346452095,0.306497953665901,0.17423541919843208,0.15716135298996037,-0.1099189261852081,0.3673786151539658,-0.07582559910136023,0.4481779263510706,0.38461798823402427,0.2880915858230176,0.34295833519885754,0.3720225290103275,0.015394845465551381,0.15810973321340213,-0.07582559910136023,-0.07582559910136023,0.2790997328459631,0.214604486160502,0.18803344577280293,0.16758960336495274,0.04701488279554927
37,SAM1c0ecfb3eb63,0.415277649165299,0.4167883350814853,0.3151094214054943,0.09277889905190645,0.1866594936512091,0.4111187963186102,0.43688613233965073,0.16479854675837902,0.37718665871807994,0.440244543435385,0.3787387998438265,0.3818506686684926,0.42720143527407506,0.42706583338763415,0.12121213723985165,0.33943011331157735,0.14350528907428597,0.39709452604713374,0.3701766757106565,0.5330013328673314,0.3355418963246452,0.3735622400453408,0.17123644913763292,0.2920806270909393,0.14350528907428597,0.14350528907428597,0.39001821208663057,0.3912566798245363,0.3602911992373236,0.4823841594112886,-0.09112747958675227
38,SAM1c8b086175ca,0.37133857866235864,0.3363069584796657,0.3196296674640229,-0.027034979564372792,0.02119631883823239,0.4522323120300297,0.4215757280882578,0.05731431778763103,0.32605516830594206,0.4443039456697728,0.3627222332940345,0.4393775640924453,0.4677224880054171,0.4687005746064104,0.0070415329851844476,0.3373038568069971,0.014779544732949571,0.3912415990671225,0.3826403134009234,0.5624615213659889,0.329155086758856,0.36232565720385007,0.09016316789067533,0.24310540028872663,0.014779544732949571,0.014779544732949571,0.3282187593323563,0.21111587573260837,0.17323912641789477,0.4553473226907626,-0.24423144695815424
39,SAM1dda30f1c5be,0.3715631645616741,0.38405693736986807,0.30237831766527823,-0.026336428790887063,0.05727622776572698,0.43436508882221603,0.42163956454365076,0.072806831956988,0.3652585792879535,0.4462107537897328,0.34839346079038935,0.4081285466591515,0.47820708993721134,0.39498500453454677,0.010350542953015428,0.3311867887841921,0.043508235949388276,0.38860667332689564,0.37450261050027606,0.5282517337500983,0.29931594544431217,0.3320748396571478,0.0776696815410833,0.23003614417386226,0.043508235949388276,0.043508235949388276,0.340743184354231,0.27439620024568573,0.25382046904005695,0.406094657192335,-0.13169845694664928
